id,stageID,executorID,host,type,executionTime,finishTime,gettingResultTime,startTime,executorRunTime,executorDeserializerTime,resultSerializationTime,shuffleWriteTime,GCTime,resultSize,memoryBytesSpilled,diskBytesSpilled,shuffleBytesWritten,shuffleRecordsWritten,dataReadMethod,bytesRead,recordsRead,shuffleRemoteBlocksFetched,shuffleLocalBlocksFetched,shuffleFetchWaitTime,shuffleRemoteBytesRead,shuffleLocalBytesRead,shuffleTotalRecordsRead,
1442,3,2,9.12.247.200,ResultTask,682,1436924820504,0,1436924819822,571,99,1,null,0,937,0,0,null,null,null,null,null,24,4,183,2328,388,28,
1642,4,1,9.12.247.201,ShuffleMapTask,194,1436924821721,0,1436924821527,184,2,0,114256,22,1957,0,0,97,1,Memory,108606240,1180555,null,null,null,null,null,null,
1842,4,9,9.12.247.199,ShuffleMapTask,4524,1436924835258,0,1436924830734,4515,3,0,86060,221,1957,0,0,97,1,Disk,159374925,1180555,null,null,null,null,null,null,
2042,4,8,9.12.247.250,ShuffleMapTask,4453,1436924858478,0,1436924854025,4445,2,0,117398,133,1957,0,0,97,1,Disk,159374925,1180555,null,null,null,null,null,null,
2242,6,7,9.12.247.186,ShuffleMapTask,256,1436924894666,0,1436924894410,212,18,0,69415,0,1957,0,0,97,1,Memory,108606240,1180555,null,null,null,null,null,null,
2442,6,2,9.12.247.200,ShuffleMapTask,182,1436924895589,0,1436924895407,174,2,0,95915,26,1957,0,0,97,1,Memory,108606240,1180555,null,null,null,null,null,null,
2642,6,7,9.12.247.186,ShuffleMapTask,4239,1436924915342,0,1436924911103,4229,3,0,87449,94,1957,0,0,97,1,Disk,159374925,1180555,null,null,null,null,null,null,
2842,6,5,9.12.247.196,ShuffleMapTask,4481,1436924940430,0,1436924935949,4474,1,0,81722,53,1957,0,0,97,1,Disk,159374925,1180555,null,null,null,null,null,null,
3042,8,3,9.12.247.192,ResultTask,477,1436924968796,0,1436924968319,468,2,0,null,22,1825,0,0,null,null,Memory,108606240,1180555,null,null,null,null,null,null,
3242,8,5,9.12.247.196,ResultTask,324,1436924970654,0,1436924970330,314,3,0,null,0,1825,0,0,null,null,Memory,159374925,1180555,null,null,null,null,null,null,
3442,8,4,9.12.247.208,ResultTask,4546,1436924995624,0,1436924991078,4537,2,0,null,184,1825,0,0,null,null,Disk,159374925,1180555,null,null,null,null,null,null,
3642,8,1,9.12.247.201,ResultTask,4710,1436925024440,0,1436925019730,4702,2,0,null,16,1825,0,0,null,null,Disk,159374925,1180555,null,null,null,null,null,null,
1843,4,9,9.12.247.199,ShuffleMapTask,4214,1436924835135,0,1436924830921,4205,3,0,75105,221,1957,0,0,97,1,Disk,159374925,1180555,null,null,null,null,null,null,
2043,4,1,9.12.247.201,ShuffleMapTask,5937,1436924860037,0,1436924854100,5929,2,0,73532,86,1957,0,0,97,1,Disk,159374925,1180555,null,null,null,null,null,null,
2243,6,0,9.12.247.197,ShuffleMapTask,247,1436924894657,0,1436924894410,217,18,0,88573,25,1957,0,0,97,1,Memory,108606240,1180555,null,null,null,null,null,null,
2443,6,5,9.12.247.196,ShuffleMapTask,148,1436924895556,0,1436924895408,140,2,0,92851,0,1957,0,0,97,1,Memory,108606240,1180555,null,null,null,null,null,null,
2643,6,2,9.12.247.200,ShuffleMapTask,5312,1436924916481,0,1436924911169,5305,1,0,71637,136,1957,0,0,97,1,Disk,159374925,1180555,null,null,null,null,null,null,
2843,6,1,9.12.247.201,ShuffleMapTask,6630,1436924942664,0,1436924936034,6621,2,0,72466,23,1957,0,0,97,1,Disk,159374925,1180555,null,null,null,null,null,null,
3043,8,4,9.12.247.208,ResultTask,364,1436924968691,0,1436924968327,356,1,0,null,23,1825,0,0,null,null,Memory,108606240,1180555,null,null,null,null,null,null,
3243,8,8,9.12.247.250,ResultTask,4282,1436924974617,0,1436924970335,4274,2,0,null,22,1825,0,0,null,null,Disk,159374925,1180555,null,null,null,null,null,null,
3443,8,7,9.12.247.186,ResultTask,5062,1436924996400,0,1436924991338,5052,2,0,null,28,1825,0,0,null,null,Disk,159374925,1180555,null,null,null,null,null,null,
3643,8,0,9.12.247.197,ResultTask,9353,1436925029098,0,1436925019745,9344,2,0,null,147,1825,0,0,null,null,Disk,159374925,1180555,null,null,null,null,null,null,
43,1,0,9.12.247.197,ResultTask,20315,1436924355908,0,1436924335593,20283,10,0,null,1530,2336,0,0,null,null,Hadoop,121455420,1180555,null,null,null,null,null,null,
243,1,5,9.12.247.196,ResultTask,16528,1436924459278,0,1436924442750,16509,4,0,null,1838,2336,0,0,null,null,Hadoop,121457137,1180555,null,null,null,null,null,null,
443,1,1,9.12.247.201,ResultTask,21847,1436924585987,0,1436924564140,21829,4,0,null,988,2336,0,0,null,null,Hadoop,121456524,1180555,null,null,null,null,null,null,
643,1,1,9.12.247.201,ResultTask,21655,1436924702445,0,1436924680790,21640,4,0,null,521,2336,0,0,null,null,Hadoop,121456602,1180555,null,null,null,null,null,null,
843,2,8,9.12.247.250,ShuffleMapTask,224,1436924746043,0,1436924745819,208,4,0,86140,39,1957,0,0,97,1,Memory,108606240,1180555,null,null,null,null,null,null,
1043,2,8,9.12.247.250,ShuffleMapTask,3576,1436924753511,0,1436924749935,3564,4,0,113568,70,1957,0,0,97,1,Disk,159374925,1180555,null,null,null,null,null,null,
