Stage ID,Real Duration,Estimated Duration,Error,Error Percentage,Size,Error/AppDuration
180,252034,268321,16287,0.06462223350817747,28.50847167056054,0.0025597120775756052
126,92166,100015,7849,0.08516155632228804,28.50847167056054,0.001233571566088962
63,98416,98786,370,0.0037595512924727685,28.50847167056054,5.81502713024482E-5
127,136796,122779,14017,0.10246644638732126,28.50847167056054,0.002202952304990315
0,181319,178431,2888,0.01592772958156619,31.339639127254486,3.8431029276912466E-4
64,118233,131854,13621,0.11520472287770758,31.339639127254486,0.0018125659618449608
128,305321,263805,41516,0.1359749247513273,31.339639127254486,0.005524593529987181
65,360521,276836,83685,0.2321224006368561,31.339639127254486,0.011136082704426661
3,74918,72950,1968,0.026268720467711365,31.339639127254486,2.61884576236024E-4
4,96783,104987,8204,0.08476695287395514,31.339639127254486,0.0010917180200408236
5,146180,155096,8916,0.060993295936516624,31.339639127254486,0.0011864648789229623
6,101269,107856,6587,0.0650445842261699,31.339639127254486,8.765415160907978E-4
7,330992,243660,87332,0.2638492773239232,31.339639127254486,0.011621394213335594
8,93494,111340,17846,0.19087855905191778,31.339639127254486,0.0023747927578801242
9,453577,291528,162049,0.35726899732570216,31.339639127254486,0.02156409232442655
270,45740,34258,11482,0.2510275470048098,31.339639127254486,0.0015279261709055018
207,103484,109031,5547,0.053602489273704146,31.339639127254486,7.381472278359884E-4
208,99874,58580,41294,0.4134609608106214,31.339639127254486,0.00549505167230202
209,389548,285852,103696,0.2661956934703811,31.339639127254486,0.013798975110452614
18,98080,107166,9086,0.09263866231647634,31.339639127254486,0.0012090870221953833
82,93646,114584,20938,0.22358669884458493,31.339639127254486,0.0027862496225761536
19,104146,106430,2284,0.021930751061010504,31.339639127254486,3.039351484365238E-4
83,115645,123162,7517,0.06500064853646936,31.339639127254486,0.001000297946934041
20,346593,259846,86747,0.2502849163139475,31.339639127254486,0.011543547426192263
84,375409,306993,68416,0.18224389932047447,31.339639127254486,0.009104215024270232
151,120276,109384,10892,0.09055838238717616,31.339639127254486,0.0014494140266071004
152,96902,102696,5794,0.059792367546593464,31.339639127254486,7.710158712965057E-4
153,329424,257301,72123,0.2189366894943902,31.339639127254486,0.00959751081904002
31,95653,108302,12649,0.13223840339560705,31.339639127254486,0.0016832205308991198
32,119896,123505,3609,0.03010108760926136,31.339639127254486,4.8025479453039157E-4
33,307713,343301,35588,0.11565322232079893,31.339639127254486,0.004735746086934767
103,98283,113016,14733,0.14990384908885565,31.339639127254486,0.0019605413931327955
104,91849,126553,34704,0.37783753769774303,31.339639127254486,0.00461811094191818
105,329713,316354,13359,0.04051705574241841,31.339639127254486,0.00177770124691923
46,102860,108451,5591,0.05435543457126191,31.339639127254486,7.440023708006149E-4
238,137514,112999,24515,0.1782727576828541,31.339639127254486,0.0032622461313140897
47,109011,120502,11491,0.10541138050288502,31.339639127254486,0.00152912381378463
239,140975,96580,44395,0.3149139918425253,31.339639127254486,0.005907706179877178
48,326516,331740,5224,0.01599921596491443,31.339639127254486,6.951651556183889E-4
240,408080,235116,172964,0.4238482650460694,31.339639127254486,0.02301656699394698
178,99419,112248,12829,0.12903972077771855,31.339639127254486,0.001707173388481683
179,97901,100728,2827,0.028876109539228405,31.339639127254486,3.76192935477256E-4
180,293385,293939,554,0.0018883037646778124,31.339639127254486,7.372157278188888E-5
126,126852,109692,17160,0.13527575442247658,31.339639127254486,0.0022835057562043556
63,97220,108356,11136,0.11454433244188439,31.339639127254486,0.0014818834557745748
127,95356,145018,49662,0.5208062418725617,31.339639127254486,0.006608593407029179
0,190834,194702,3868,0.02026892482471677,34.169417425990105,5.245627028052577E-4
64,93799,144599,50800,0.5415835989722705,34.169417425990105,0.006889292994443405
128,279033,257522,21511,0.07709124010421707,34.169417425990105,0.0029172358583360648
65,348415,283171,65244,0.18725944634989883,34.169417425990105,0.008848130553729636
3,88297,75552,12745,0.14434238988867118,34.169417425990105,0.0017284259687830946
4,112187,114449,2262,0.020162763956608164,34.169417425990105,3.0676340065809025E-4
5,163863,169343,5480,0.0334425709281534,34.169417425990105,7.43175700975391E-4
6,119387,116343,3044,0.02549691339928133,34.169417425990105,4.1281511565129385E-4
7,361459,230362,131097,0.362688437692795,34.169417425990105,0.017778851253790296
8,106365,118854,12489,0.11741644337893103,34.169417425990105,0.0016937082718032222
9,480448,242160,238288,0.4959704276009058,34.169417425990105,0.03231566632007737
270,44134,36351,7783,0.17634929985951875,34.169417425990105,0.001055499357790414
207,114984,118884,3900,0.03391776247130036,34.169417425990105,5.289024149277417E-4
208,102800,35262,67538,0.6569844357976654,34.169417425990105,0.009159233666510211
209,296934,311171,14237,0.04794668175419454,34.169417425990105,0.0019307650464939128
18,111558,116726,5168,0.04632567812259094,34.169417425990105,7.008635077811716E-4
82,114106,124917,10811,0.09474523688500167,34.169417425990105,0.0014661446173804657
19,102600,115492,12892,0.12565302144249513,34.169417425990105,0.0017483615213457556
83,121361,134521,13160,0.10843681248506522,34.169417425990105,0.0017847066103715593
20,343261,237597,105664,0.30782407555766605,34.169417425990105,0.014329729428442283
84,330660,310329,20331,0.061486118671747414,34.169417425990105,0.002757208973819466
151,128208,119297,8911,0.06950424310495446,34.169417425990105,0.0012084742101079761
152,105434,112454,7020,0.06658193751541248,34.169417425990105,9.520243468699352E-4
153,277621,257072,20549,0.07401817585845451,34.169417425990105,0.0027867732626538884
31,128751,115189,13562,0.10533510419336549,34.169417425990105,0.001839224243910265
32,125532,134851,9319,0.07423605136538891,34.169417425990105,0.0012638055396696475
